Section Length,Cumulative Length,Radius
63.85,10195.62,0
18.74,10214.36,31.72
26.59,10240.95,21.5
18.13,10259.08,0
25.64,10284.72,22.09
20.28,10305,0
18.34,10323.34,22.23
14.41,10337.75,20.43
10.71,10348.46,11.57
11.77,10360.23,15.09
29.13,10389.36,20.63
10.25,10399.61,10.21
78.13,10477.74,0
10.04,10487.78,7.44
16.01,10503.79,11.78
16.68,10520.47,0
7.21,10527.68,9.13
6.61,10534.29,4.05
6.68,10540.97,0
14.26,10555.23,12.32
7.29,10562.52,3.92
9.05,10571.57,29.42
20.96,10592.53,0
32.25,10624.78,33.4
22.99,10647.77,17.72
17.05,10664.82,15.49
12.19,10677.01,5.52
95.71,10772.72,0
4.28,10777,6.38
8.89,10785.89,7.09
9.5,10795.39,7.92
7.5,10802.89,8.7
10.67,10813.56,36.5
31.55,10845.11,0
5.2,10850.31,3.71
31.33,10881.64,14.33
7.22,10888.86,0
4,10892.86,6.58
5.99,10898.85,20.92
29.12,10927.97,0
4.91,10932.88,8.51
10,10942.88,8.13
9.8,10952.68,8.49
9.09,10961.77,7.79
5.22,10966.99,0
9.72,10976.71,8.45
8.69,10985.4,0
12.37,10997.77,10.03
7.28,11005.05,0
12.91,11017.96,8.2
3.65,11021.61,0
9.96,11031.57,6.86
9.92,11041.49,9.39
9.94,11051.43,0
15.32,11066.75,13.24
8.08,11074.83,0
14.53,11089.36,13.3
10.52,11099.88,0
12.98,11112.86,15.07
11.78,11124.64,0
10,11134.64,23.56
63.85,11198.49,0
18.74,11217.23,31.72
26.59,11243.82,21.5
18.13,11261.95,0
25.64,11287.59,22.09
20.28,11307.87,0
18.34,11326.21,22.23
14.41,11340.62,20.43
10.71,11351.33,11.57
11.77,11363.1,15.09
29.13,11392.23,20.63
10.25,11402.48,10.21
78.13,11480.61,0
10.04,11490.65,7.44
16.01,11506.66,11.78
16.68,11523.34,0
7.21,11530.55,9.13
6.61,11537.16,4.05
6.68,11543.84,0
14.26,11558.1,12.32
7.29,11565.39,3.92
9.05,11574.44,29.42
20.96,11595.4,0
32.25,11627.65,33.4
22.99,11650.64,17.72
17.05,11667.69,15.49
12.19,11679.88,5.52
95.71,11775.59,0
4.28,11779.87,6.38
8.89,11788.76,7.09
9.5,11798.26,7.92
7.5,11805.76,8.7
10.67,11816.43,36.5
31.55,11847.98,0
5.2,11853.18,3.71
31.33,11884.51,14.33
7.22,11891.73,0
4,11895.73,6.58
5.99,11901.72,20.92
29.12,11930.84,0
4.91,11935.75,8.51
10,11945.75,8.13
9.8,11955.55,8.49
9.09,11964.64,7.79
5.22,11969.86,0
9.72,11979.58,8.45
8.69,11988.27,0
12.37,12000.64,10.03
7.28,12007.92,0
12.91,12020.83,8.2
3.65,12024.48,0
9.96,12034.44,6.86
9.92,12044.36,9.39
9.94,12054.3,0
15.32,12069.62,13.24
8.08,12077.7,0
14.53,12092.23,13.3
10.52,12102.75,0
12.98,12115.73,15.07
11.78,12127.51,0
10,12137.51,23.56
63.85,12201.36,0
18.74,12220.1,31.72
26.59,12246.69,21.5
18.13,12264.82,0
25.64,12290.46,22.09
20.28,12310.74,0
18.34,12329.08,22.23
14.41,12343.49,20.43
10.71,12354.2,11.57
11.77,12365.97,15.09
29.13,12395.1,20.63
10.25,12405.35,10.21
78.13,12483.48,0
10.04,12493.52,7.44
16.01,12509.53,11.78
16.68,12526.21,0
7.21,12533.42,9.13
6.61,12540.03,4.05
6.68,12546.71,0
14.26,12560.97,12.32
7.29,12568.26,3.92
9.05,12577.31,29.42
20.96,12598.27,0
32.25,12630.52,33.4
22.99,12653.51,17.72
17.05,12670.56,15.49
12.19,12682.75,5.52
95.71,12778.46,0
4.28,12782.74,6.38
8.89,12791.63,7.09
9.5,12801.13,7.92
7.5,12808.63,8.7
10.67,12819.3,36.5
31.55,12850.85,0
5.2,12856.05,3.71
31.33,12887.38,14.33
7.22,12894.6,0
4,12898.6,6.58
5.99,12904.59,20.92
29.12,12933.71,0
4.91,12938.62,8.51
10,12948.62,8.13
9.8,12958.42,8.49
9.09,12967.51,7.79
5.22,12972.73,0
9.72,12982.45,8.45
8.69,12991.14,0
12.37,13003.51,10.03
7.28,13010.79,0
12.91,13023.7,8.2
3.65,13027.35,0
9.96,13037.31,6.86
9.92,13047.23,9.39
9.94,13057.17,0
15.32,13072.49,13.24
8.08,13080.57,0
14.53,13095.1,13.3
10.52,13105.62,0
12.98,13118.6,15.07
11.78,13130.38,0
10,13140.38,23.56
63.85,13204.23,0
18.74,13222.97,31.72
26.59,13249.56,21.5
18.13,13267.69,0
25.64,13293.33,22.09
20.28,13313.61,0
18.34,13331.95,22.23
14.41,13346.36,20.43
10.71,13357.07,11.57
11.77,13368.84,15.09
29.13,13397.97,20.63
10.25,13408.22,10.21
78.13,13486.35,0
10.04,13496.39,7.44
16.01,13512.4,11.78
16.68,13529.08,0
7.21,13536.29,9.13
6.61,13542.9,4.05
6.68,13549.58,0
14.26,13563.84,12.32
7.29,13571.13,3.92
9.05,13580.18,29.42
20.96,13601.14,0
32.25,13633.39,33.4
22.99,13656.38,17.72
17.05,13673.43,15.49
12.19,13685.62,5.52
95.71,13781.33,0
4.28,13785.61,6.38
8.89,13794.5,7.09
9.5,13804,7.92
7.5,13811.5,8.7
10.67,13822.17,36.5
31.55,13853.72,0
5.2,13858.92,3.71
31.33,13890.25,14.33
7.22,13897.47,0
4,13901.47,6.58
5.99,13907.46,20.92
29.12,13936.58,0
4.91,13941.49,8.51
10,13951.49,8.13
9.8,13961.29,8.49
9.09,13970.38,7.79
5.22,13975.6,0
9.72,13985.32,8.45
8.69,13994.01,0
12.37,14006.38,10.03
7.28,14013.66,0
12.91,14026.57,8.2
3.65,14030.22,0
9.96,14040.18,6.86
9.92,14050.1,9.39
9.94,14060.04,0
15.32,14075.36,13.24
8.08,14083.44,0
14.53,14097.97,13.3
10.52,14108.49,0
12.98,14121.47,15.07
11.78,14133.25,0
10,14143.25,23.56
63.85,14207.1,0
18.74,14225.84,31.72
26.59,14252.43,21.5
18.13,14270.56,0
25.64,14296.2,22.09
20.28,14316.48,0
18.34,14334.82,22.23
14.41,14349.23,20.43
10.71,14359.94,11.57
11.77,14371.71,15.09
29.13,14400.84,20.63
10.25,14411.09,10.21
78.13,14489.22,0
10.04,14499.26,7.44
16.01,14515.27,11.78
16.68,14531.95,0
7.21,14539.16,9.13
6.61,14545.77,4.05
6.68,14552.45,0
14.26,14566.71,12.32
7.29,14574,3.92
9.05,14583.05,29.42
20.96,14604.01,0
32.25,14636.26,33.4
22.99,14659.25,17.72
17.05,14676.3,15.49
12.19,14688.49,5.52
95.71,14784.2,0
4.28,14788.48,6.38
8.89,14797.37,7.09
9.5,14806.87,7.92
7.5,14814.37,8.7
10.67,14825.04,36.5
31.55,14856.59,0
5.2,14861.79,3.71
31.33,14893.12,14.33
7.22,14900.34,0
4,14904.34,6.58
5.99,14910.33,20.92
29.12,14939.45,0
4.91,14944.36,8.51
10,14954.36,8.13
9.8,14964.16,8.49
9.09,14973.25,7.79
5.22,14978.47,0
9.72,14988.19,8.45
8.69,14996.88,0
12.37,15009.25,10.03
7.28,15016.53,0
12.91,15029.44,8.2
3.65,15033.09,0
9.96,15043.05,6.86
9.92,15052.97,9.39
9.94,15062.91,0
15.32,15078.23,13.24
8.08,15086.31,0
14.53,15100.84,13.3
10.52,15111.36,0
12.98,15124.34,15.07
11.78,15136.12,0
10,15146.12,23.56
63.85,15209.97,0
18.74,15228.71,31.72
26.59,15255.3,21.5
18.13,15273.43,0
25.64,15299.07,22.09
20.28,15319.35,0
18.34,15337.69,22.23
14.41,15352.1,20.43
10.71,15362.81,11.57
11.77,15374.58,15.09
29.13,15403.71,20.63
10.25,15413.96,10.21
78.13,15492.09,0
10.04,15502.13,7.44
16.01,15518.14,11.78
16.68,15534.82,0
7.21,15542.03,9.13
6.61,15548.64,4.05
6.68,15555.32,0
14.26,15569.58,12.32
7.29,15576.87,3.92
9.05,15585.92,29.42
20.96,15606.88,0
32.25,15639.13,33.4
22.99,15662.12,17.72
17.05,15679.17,15.49
12.19,15691.36,5.52
95.71,15787.07,0
4.28,15791.35,6.38
8.89,15800.24,7.09
9.5,15809.74,7.92
7.5,15817.24,8.7
10.67,15827.91,36.5
31.55,15859.46,0
5.2,15864.66,3.71
31.33,15895.99,14.33
7.22,15903.21,0
4,15907.21,6.58
5.99,15913.2,20.92
29.12,15942.32,0
4.91,15947.23,8.51
10,15957.23,8.13
9.8,15967.03,8.49
9.09,15976.12,7.79
5.22,15981.34,0
9.72,15991.06,8.45
8.69,15999.75,0
12.37,16012.12,10.03
7.28,16019.4,0
12.91,16032.31,8.2
3.65,16035.96,0
9.96,16045.92,6.86
9.92,16055.84,9.39
9.94,16065.78,0
15.32,16081.1,13.24
8.08,16089.18,0
14.53,16103.71,13.3
10.52,16114.23,0
12.98,16127.21,15.07
11.78,16138.99,0
10,16148.99,23.56
63.85,16212.84,0
18.74,16231.58,31.72
26.59,16258.17,21.5
18.13,16276.3,0
25.64,16301.94,22.09
20.28,16322.22,0
18.34,16340.56,22.23
14.41,16354.97,20.43
10.71,16365.68,11.57
11.77,16377.45,15.09
29.13,16406.58,20.63
10.25,16416.83,10.21
78.13,16494.96,0
10.04,16505,7.44
16.01,16521.01,11.78
16.68,16537.69,0
7.21,16544.9,9.13
6.61,16551.51,4.05
6.68,16558.19,0
14.26,16572.45,12.32
7.29,16579.74,3.92
9.05,16588.79,29.42
20.96,16609.75,0
32.25,16642,33.4
22.99,16664.99,17.72
17.05,16682.04,15.49
12.19,16694.23,5.52
95.71,16789.94,0
4.28,16794.22,6.38
8.89,16803.11,7.09
9.5,16812.61,7.92
7.5,16820.11,8.7
10.67,16830.78,36.5
31.55,16862.33,0
5.2,16867.53,3.71
31.33,16898.86,14.33
7.22,16906.08,0
4,16910.08,6.58
5.99,16916.07,20.92
29.12,16945.19,0
4.91,16950.1,8.51
10,16960.1,8.13
9.8,16969.9,8.49
9.09,16978.99,7.79
5.22,16984.21,0
9.72,16993.93,8.45
8.69,17002.62,0
12.37,17014.99,10.03
7.28,17022.27,0
12.91,17035.18,8.2
3.65,17038.83,0
9.96,17048.79,6.86
9.92,17058.71,9.39
9.94,17068.65,0
15.32,17083.97,13.24
8.08,17092.05,0
14.53,17106.58,13.3
10.52,17117.1,0
12.98,17130.08,15.07
11.78,17141.86,0
10,17151.86,23.56
63.85,17215.71,0
18.74,17234.45,31.72
26.59,17261.04,21.5
18.13,17279.17,0
25.64,17304.81,22.09
20.28,17325.09,0
18.34,17343.43,22.23
14.41,17357.84,20.43
10.71,17368.55,11.57
11.77,17380.32,15.09
29.13,17409.45,20.63
10.25,17419.7,10.21
78.13,17497.83,0
10.04,17507.87,7.44
16.01,17523.88,11.78
16.68,17540.56,0
7.21,17547.77,9.13
6.61,17554.38,4.05
6.68,17561.06,0
14.26,17575.32,12.32
7.29,17582.61,3.92
9.05,17591.66,29.42
20.96,17612.62,0
32.25,17644.87,33.4
22.99,17667.86,17.72
17.05,17684.91,15.49
12.19,17697.1,5.52
95.71,17792.81,0
4.28,17797.09,6.38
8.89,17805.98,7.09
9.5,17815.48,7.92
7.5,17822.98,8.7
10.67,17833.65,36.5
31.55,17865.2,0
5.2,17870.4,3.71
31.33,17901.73,14.33
7.22,17908.95,0
4,17912.95,6.58
5.99,17918.94,20.92
29.12,17948.06,0
4.91,17952.97,8.51
10,17962.97,8.13
9.8,17972.77,8.49
9.09,17981.86,7.79
5.22,17987.08,0
9.72,17996.8,8.45
8.69,18005.49,0
12.37,18017.86,10.03
7.28,18025.14,0
12.91,18038.05,8.2
3.65,18041.7,0
9.96,18051.66,6.86
9.92,18061.58,9.39
9.94,18071.52,0
15.32,18086.84,13.24
8.08,18094.92,0
14.53,18109.45,13.3
10.52,18119.97,0
12.98,18132.95,15.07
11.78,18144.73,0
10,18154.73,23.56
63.85,18218.58,0
18.74,18237.32,31.72
26.59,18263.91,21.5
18.13,18282.04,0
25.64,18307.68,22.09
20.28,18327.96,0
18.34,18346.3,22.23
14.41,18360.71,20.43
10.71,18371.42,11.57
11.77,18383.19,15.09
29.13,18412.32,20.63
10.25,18422.57,10.21
78.13,18500.7,0
10.04,18510.74,7.44
16.01,18526.75,11.78
16.68,18543.43,0
7.21,18550.64,9.13
6.61,18557.25,4.05
6.68,18563.93,0
14.26,18578.19,12.32
7.29,18585.48,3.92
9.05,18594.53,29.42
20.96,18615.49,0
32.25,18647.74,33.4
22.99,18670.73,17.72
17.05,18687.78,15.49
12.19,18699.97,5.52
95.71,18795.68,0
4.28,18799.96,6.38
8.89,18808.85,7.09
9.5,18818.35,7.92
7.5,18825.85,8.7
