elapsedDistance,brakePosition,engineSpeed,torque
Length,Percentage,Speed (angular),Torque
m,%,rpm,N.m
202.75,0,3087.553787,100
203,0,3086.769293,100
203.25,0,3085.998662,100
203.5,0,3085.241522,100
203.75,0,3084.497518,100
204,0,3083.766311,100
204.25,0,3083.047575,100
204.5,0,3082.340999,100
204.75,0,3081.646283,100
205,0,3080.963142,100
205.25,0,3080.2913,100
205.5,0,3079.63049,100
205.75,0,3078.980458,100
206,0,3078.340958,100
206.25,0,3077.711753,100
206.5,0,3077.092613,100
206.75,0,3076.483317,100
207,0,3075.883653,100
207.25,0,3075.293413,100
207.5,0,3074.712398,100
207.75,0,3074.140415,100
208,0,3073.577277,100
208.25,0,3073.022801,100
208.5,0,3072.476813,100
208.75,0,3071.939142,100
209,0,3071.409622,100
209.25,0,3070.888093,100
209.5,0,3070.374398,100
209.75,0,3069.868387,100
210,0,3069.369912,100
210.25,0,3068.87883,100
210.5,0,3068.395001,100
210.75,0,3067.918289,100
211,0,3067.448564,100
211.25,0,3066.985696,100
211.5,0,3066.529559,100
211.75,0,3066.080033,100
212,0,3065.636998,100
212.25,0,3065.200338,100
212.5,0,3064.76994,100
212.75,0,3064.345694,100
213,0,3063.927492,100
213.25,0,3063.515229,100
213.5,0,3063.108803,100
213.75,0,3062.708113,100
214,0,3062.313061,100
214.25,0,3061.923553,100
214.5,0,3061.539494,100
214.75,0,3061.160793,100
215,0,3060.787361,100
215.25,0,3060.41911,100
215.5,0,3060.055956,100
215.75,0,3059.697814,100
216,0,3059.344604,100
216.25,0,3058.996244,100
216.5,0,3058.652656,100
216.75,0,3058.313765,100
217,0,3057.979494,100
217.25,0,3057.64977,100
217.5,0,3057.324522,100
217.75,0,3057.003679,100
218,0,3056.687171,100
218.25,0,3056.374931,100
218.5,0,3056.066892,100
218.75,0,3055.76299,100
219,0,3055.46316,100
219.25,0,3055.16734,100
219.5,0,3054.875469,100
219.75,0,3054.587487,100
220,0,3054.303333,100
220.25,0,3054.022951,100
220.5,0,3053.746284,100
220.75,0,3053.473275,100
221,0,3053.20387,100
221.25,0,3057.246217,100
221.5,0,3061.27892,100
221.75,0,3065.302021,100
222,0,3069.315564,100
222.25,0,3073.31959,100
222.5,0,3077.314141,100
222.75,0,3081.299258,100
223,0,3085.274983,100
223.25,0,3089.241357,100
223.5,0,3093.19842,100
223.75,0,3097.146212,100
224,0,3101.084773,100
224.25,0,3105.014144,100
224.5,0,3108.934362,100
224.75,0,3112.845469,100
225,0,3116.747501,100
225.25,0,3120.640499,100
225.5,0,3124.524499,100
225.75,0,3128.399541,100
226,0,3132.265661,100
226.25,0,3136.122898,100
226.5,0,3139.971288,100
226.75,0,3143.810868,100
227,0,3147.641676,100
227.25,0,3151.463746,100
227.5,0,3155.277117,100
227.75,0,3159.081823,100
228,0,3162.8779,100
228.25,0,3166.665384,100
228.5,0,3170.444309,100
228.75,0,3174.214711,100
229,0,3177.976624,100
229.25,0,3181.730083,100
229.5,0,3185.475122,100
229.75,0,3189.211775,100
230,0,3192.940076,100
230.25,0,3196.660058,100
230.5,0,3200.371754,100
230.75,0,3204.075198,100
231,0,3207.770422,100
231.25,0,3211.457459,100
231.5,0,3215.136342,100
231.75,0,3218.807102,100
232,0,3222.469772,100
232.25,0,3226.124383,100
232.5,0,3229.770967,100
232.75,0,3233.409555,100
233,0,3237.040179,100
233.25,0,3240.662869,100
233.5,0,3244.277656,100
233.75,0,3247.884571,100
234,0,3251.483644,100
234.25,0,3255.074904,100
234.5,0,3258.658383,100
234.75,0,3262.23411,100
235,0,3265.802114,100
235.25,0,3269.362425,100
235.5,0,3272.915072,100
235.75,0,3276.460084,100
236,0,3279.99749,100
236.25,0,3283.527318,100
236.5,0,3287.049597,100
236.75,0,3290.564355,100
237,100,3294.021406,100
237.25,100,3280.337635,100
237.5,100,3266.611114,100
237.75,100,3252.841281,100
238,100,3239.027565,100
238.25,100,3225.169385,100
238.5,100,3211.266145,100
238.75,100,3197.317238,100
239,100,3183.322044,100
239.25,0,3169.279932,100
239.5,0,3167.114579,100
239.75,0,3165.260442,100
240,0,3163.519578,100
240.25,0,3161.862824,100
240.5,0,3160.275006,100
240.75,0,3158.746408,100
241,0,3157.270126,100
241.25,0,3155.840925,100
241.5,0,3154.454663,100
241.75,0,3153.10796,100
242,0,3151.797985,100
242.25,0,3150.522326,100
242.5,0,3149.278898,100
242.75,0,3148.065872,100
243,0,3146.881628,100
243.25,0,3145.724721,100
243.5,0,3144.593848,100
243.75,0,3143.487831,100
244,0,3142.405592,100
244.25,0,3141.346148,100
244.5,0,3140.308591,100
244.75,0,3139.292083,100
245,0,3138.295846,100
245.25,0,3137.319156,100
245.5,0,3136.361337,100
245.75,0,3135.421756,100
246,0,3134.499819,100
246.25,0,3133.594967,100
246.5,0,3132.706672,100
246.75,0,3131.834437,100
247,0,3130.977789,100
247.25,0,3130.136282,100
247.5,0,3129.309489,100
247.75,0,3128.497007,100
248,0,3127.698451,100
248.25,0,3126.913452,100
248.5,0,3126.14166,100
