elapsedDistance,engineSpeed,torque,brakePosition
Length,Speed (angular),Torque,Ratio
m,rpm,N.m,%
138.75,3325.520917,58.49166533,0
139,3328.95431,58.43673104,0
139.25,3332.38051,58.38191185,0
139.5,3335.799542,58.32720732,0
139.75,3339.211434,58.27261705,0
140,3342.616211,58.21814063,0
140.25,3346.013898,58.16377764,0
140.5,3349.40452,58.10952767,0
140.75,3352.788104,58.05539033,0
141,3356.164674,58.00136521,0
141.25,3359.534256,57.94745191,0
141.5,3362.896873,57.89365003,0
141.75,3366.252552,57.83995917,0
142,3369.601316,57.78637895,0
142.25,3372.94319,57.73290896,0
142.5,3376.278198,57.67954883,0
142.75,3379.606364,57.62629817,0
143,3382.927713,57.57315659,0
143.25,3386.242268,57.52012371,0
143.5,3389.550053,57.46719915,0
143.75,3392.851092,57.41438253,0
144,3396.145407,57.36167348,0
144.25,3399.433023,57.30907163,0
144.5,3402.713963,57.2565766,0
144.75,3405.988248,57.20418803,0
145,3409.255904,57.15190554,0
145.25,3412.516951,57.09972878,0
145.5,3415.771414,57.04765738,0
145.75,3419.019314,56.99569098,0
146,3422.260674,56.94382922,0
146.25,3425.495515,56.89207175,0
146.5,3428.723862,56.84041822,0
146.75,3431.945734,56.78886826,0
147,3435.161155,56.73742153,0
147.25,3438.370145,56.68607768,0
147.5,3441.572727,56.63483636,0
147.75,3444.768923,56.58369724,0
148,3447.958753,56.53265996,0
148.25,3451.142239,56.48172418,0
148.5,3454.319402,56.43088958,0
148.75,3457.490263,56.3801558,0
149,3460.654843,56.32952252,0
149.25,3463.813163,56.2789894,0
149.5,3466.965243,56.2285561,0
149.75,3470.111105,56.17822231,0
150,3473.250769,56.1279877,0
150.25,3476.384255,56.07785192,0
150.5,3479.511583,56.02781467,0
150.75,3482.632774,55.97787562,0
151,3485.747847,55.92803445,0
151.25,3488.856823,55.87829083,0
151.5,3491.959721,55.82864446,0
151.75,3495.056562,55.77909501,0
152,3498.147364,55.72964217,0
152.25,3501.232148,55.68028564,0
152.5,3504.310932,55.63102509,0
152.75,3507.383736,55.58186022,0
153,3510.45058,55.53279073,0
153.25,3513.511481,55.4838163,0
153.5,3516.566461,55.43493663,0
153.75,3519.615536,55.38615142,0
154,3522.658727,55.33746037,0
154.25,3525.696051,55.28886318,0
154.5,3528.727528,55.24035955,0
154.75,3531.753176,55.19194919,0
155,3534.773013,55.14363179,0
155.25,3537.787058,55.09540707,0
155.5,3540.795329,55.04727474,0
155.75,3543.797844,54.9992345,0
156,3546.794621,54.95128607,0
156.25,3549.785678,54.90342916,0
156.5,3552.771033,54.85566347,0
156.75,3555.750704,54.80798874,0
157,3558.724708,54.76040468,0
157.25,3561.693063,54.71291099,0
157.5,3564.655787,54.66550741,0
157.75,3567.612896,54.61819366,0
158,3570.564409,54.57096946,0
158.25,3573.510342,54.52383452,0
158.5,3576.450713,54.47678859,0
158.75,3579.385539,54.42983138,0
159,3582.314836,54.38296262,0
159.25,3585.238622,54.33618205,0
159.5,3588.156913,54.28948939,0
159.75,3591.069726,54.24288438,0
160,3593.977078,54.19636675,0
160.25,3596.878986,54.14993623,0
160.5,3599.775465,54.10359257,0
160.75,3602.666532,54.05733549,0
161,3605.552204,54.01116474,0
161.25,3608.432496,53.96508006,0
161.5,3611.307426,53.91908119,0
161.75,3614.177008,53.87316787,0
162,3617.041259,53.82733985,0
162.25,3619.900196,53.78159687,0
162.5,3622.753833,53.73593868,0
162.75,3625.602186,53.69036502,0
163,3628.445272,53.64487565,0
163.25,3631.283105,53.59947032,0
163.5,3634.115702,53.55414876,0
163.75,3636.943078,53.50891075,0
164,3639.765248,53.46375603,0
164.25,3642.582227,53.41868436,0
164.5,3645.394032,53.37369549,0
164.75,3648.200676,53.32878919,0
165,3651.002175,53.2839652,0
165.25,3653.798545,53.23922329,0
165.5,3656.589799,53.19456321,0
165.75,3659.375954,53.14998474,0
166,3662.157023,53.10548764,0
166.25,3664.933021,53.06107166,0
166.5,3667.703964,53.01673657,0
166.75,3670.469866,52.97248215,0
167,3673.230741,52.92830815,0
167.25,3675.986604,52.88421434,0
167.5,3678.737469,52.8402005,0
167.75,3681.48335,52.79626639,0
168,3684.224263,52.7524118,0
168.25,3686.96022,52.70863648,0
168.5,3689.691237,52.66494021,0
168.75,3692.417327,52.62132277,0
169,3695.138504,52.57778394,0
169.25,3697.854782,52.53432348,0
169.5,3700.566176,52.49094118,0
169.75,3703.272698,52.44763683,0
170,3705.974364,52.40441018,0
170.25,3708.671185,52.36126104,0
170.5,3711.363177,52.31818917,0
170.75,3714.050352,52.27519437,0
171,3716.732724,52.23227642,0
171.25,3719.410307,52.18943509,0
171.5,3722.083113,52.14667019,0
171.75,3724.751157,52.10398148,0
172,3727.414452,52.06136877,0
172.25,3730.07301,52.01883184,0
172.5,3732.726845,51.97637048,0
172.75,3735.37597,51.93398448,0
173,3738.020398,51.89167363,0
173.25,3740.660142,51.84943773,0
173.5,3743.295215,51.80727656,0
173.75,3745.92563,51.76518992,0
174,3748.551399,51.72317762,0
174.25,3751.172536,51.68123943,0
174.5,3753.789052,51.63937517,0
174.75,3756.400961,51.59758462,0
175,3759.008276,51.55586759,0
175.25,3756.046561,51.60325502,100
175.5,3743.590123,51.80255803,100
175.75,3731.105413,52.00231339,27.2066639
176,3725.964787,52.08456341,28.14433583
176.25,3720.727639,52.16835778,29.0641043
176.5,3715.395469,52.2536725,29.96720233
176.75,3709.969651,52.34048559,30.85470915
177,3704.451448,52.42877683,31.72757553
177.25,3698.842026,52.51852758,32.58664392
177.5,3693.142463,52.60972058,33.4326647
177.75,3687.35376,52.70233985,34.26630944
178,3681.476844,52.79637049,35.08818189
178.25,3675.512584,52.89179866,35.89882694
178.5,3669.461785,52.98861144,36.69873822
178.75,3663.325204,53.08679673,37.48836448
179,3657.103548,53.18634324,38.26811493
179.25,3650.797477,53.28724036,39.03836387
179.5,3644.407614,53.38947818,39.79945456
179.75,3637.934541,53.49304734,40.55170266
180,3631.378805,53.59793911,41.29539913
180.25,3624.740922,53.70414525,42.03081276
180.5,3618.021374,53.81165802,42.75819237
180.75,3611.220616,53.92047014,43.47776882
181,3604.339076,54.03057478,44.18975663
181.25,3597.377156,54.1419655,44.89435555
181.5,3590.335234,54.25463626,45.59175187
181.75,3583.213664,54.36858138,46.2821196
182,3576.01278,54.48379553,46.96562152
182.25,3568.732894,54.6002737,47.64241015
182.5,3561.374299,54.71801122,48.31262858
182.75,3553.937269,54.83700369,48.97641122
183,3546.422061,54.95724703,49.63388448
183.25,3538.828912,55.07873741,50.28516741
183.5,3531.158046,55.20147127,50.93037226
183.75,3523.409667,55.32544532,51.56960493
184,3515.583968,55.45065651,52.2029655
184.25,3507.681123,55.57710203,52.83054861
184.5,3499.701295,55.70477928,53.45244385
184.75,3491.644629,55.83368593,54.06873611
185,3483.511261,55.96381982,54.67950589
185.25,3475.301311,56.09517903,55.28482961
185.5,3467.014885,56.22776184,55.88477985
185.75,3458.652078,56.36156675,56.47942563
186,3450.212974,56.49659241,57.06883262
186.25,3441.697642,56.63283773,57.65306334
186.5,3433.10614,56.77030176,58.23217738
186.75,3424.438516,56.90898375,58.80623155
187,3415.694803,57.04888315,59.37528008
187.25,3406.875026,57.18999959,59.93937473
187.5,3397.979196,57.33233286,60.49856498
187.75,3389.007316,57.47588295,61.05289813
188,3379.959374,57.62065002,61.60241943
188.25,3370.83535,57.7666344,62.14717221
188.5,3361.635213,57.91383659,62.68719797
188.75,3352.358919,58.0622573,63.22253647
189,3343.006415,58.21189736,63.75322588
189.25,3333.577637,58.36275781,64.2793028
189.5,3324.07251,58.51483985,64.80080236
189.75,3314.490947,58.66814485,65.31775835
190,3304.832853,58.82267436,65.8302032
190.25,3295.098119,58.97843009,66.33816813
190.5,3285.286628,59.13541395,66.84168316
190.75,3275.39825,59.29362799,67.34077722
191,3265.432846,59.45307446,67.83547814
191.25,3255.390264,59.61375578,68.32581277
191.5,3245.270341,59.77567455,68.81180698
191.75,3235.072904,59.93883354,69.29348573
192,3224.797769,60.1032357,69.77087314
192.25,3214.444738,60.26888419,70.24399246
